CaseSequence,YYYY-MMM,KWH
733,1998-Jan,6862583
734,1998-Feb,5838198
735,1998-Mar,5420658
736,1998-Apr,5010364
737,1998-May,4665377
738,1998-Jun,6467147
739,1998-Jul,8914755
740,1998-Aug,8607428
741,1998-Sep,6989888
742,1998-Oct,6345620
743,1998-Nov,4640410
744,1998-Dec,4693479
745,1999-Jan,7183759
746,1999-Feb,5759262
747,1999-Mar,4847656
748,1999-Apr,5306592
749,1999-May,4426794
750,1999-Jun,5500901
751,1999-Jul,7444416
752,1999-Aug,7564391
753,1999-Sep,7899368
754,1999-Oct,5358314
755,1999-Nov,4436269
756,1999-Dec,4419229
757,2000-Jan,7068296
758,2000-Feb,5876083
759,2000-Mar,4807961
760,2000-Apr,4873080
761,2000-May,5050891
762,2000-Jun,7092865
763,2000-Jul,6862662
764,2000-Aug,7517830
765,2000-Sep,8912169
766,2000-Oct,5844352
767,2000-Nov,5041769
768,2000-Dec,6220334
769,2001-Jan,7538529
770,2001-Feb,6602448
771,2001-Mar,5779180
772,2001-Apr,4835210
773,2001-May,4787904
774,2001-Jun,6283324
775,2001-Jul,7855129
776,2001-Aug,8450717
777,2001-Sep,7112069
778,2001-Oct,5242535
779,2001-Nov,4461979
780,2001-Dec,5240995
781,2002-Jan,7099063
782,2002-Feb,6413429
783,2002-Mar,5839514
784,2002-Apr,5371604
785,2002-May,5439166
786,2002-Jun,5850383
787,2002-Jul,7039702
788,2002-Aug,8058748
789,2002-Sep,8245227
790,2002-Oct,5865014
791,2002-Nov,4908979
792,2002-Dec,5779958
793,2003-Jan,7256079
794,2003-Feb,6190517
795,2003-Mar,6120626
796,2003-Apr,4885643
797,2003-May,5296096
798,2003-Jun,6051571
799,2003-Jul,6900676
800,2003-Aug,8476499
801,2003-Sep,7791791
802,2003-Oct,5344613
803,2003-Nov,4913707
804,2003-Dec,5756193
805,2004-Jan,7584596
806,2004-Feb,6560742
807,2004-Mar,6526586
808,2004-Apr,4831688
809,2004-May,4878262
810,2004-Jun,6421614
811,2004-Jul,7307931
812,2004-Aug,7309774
813,2004-Sep,6690366
814,2004-Oct,5444948
815,2004-Nov,4824940
816,2004-Dec,5791208
817,2005-Jan,8225477
818,2005-Feb,6564338
819,2005-Mar,5581725
820,2005-Apr,5563071
821,2005-May,4453983
822,2005-Jun,5900212
823,2005-Jul,8337998
824,2005-Aug,7786659
825,2005-Sep,7057213
826,2005-Oct,6694523
827,2005-Nov,4313019
828,2005-Dec,6181548
829,2006-Jan,7793358
830,2006-Feb,5914945
831,2006-Mar,5819734
832,2006-Apr,5255988
833,2006-May,4740588
834,2006-Jun,7052275
835,2006-Jul,7945564
836,2006-Aug,8241110
837,2006-Sep,7296355
838,2006-Oct,5104799
839,2006-Nov,4458429
840,2006-Dec,6226214
841,2007-Jan,8031295
842,2007-Feb,7928337
843,2007-Mar,6443170
844,2007-Apr,4841979
845,2007-May,4862847
846,2007-Jun,5022647
847,2007-Jul,6426220
848,2007-Aug,7447146
849,2007-Sep,7666970
850,2007-Oct,5785964
851,2007-Nov,4907057
852,2007-Dec,6047292
853,2008-Jan,7964293
854,2008-Feb,7597060
855,2008-Mar,6085644
856,2008-Apr,5352359
857,2008-May,4608528
858,2008-Jun,6548439
859,2008-Jul,7643987
860,2008-Aug,8037137
861,2008-Sep,
862,2008-Oct,5101803
863,2008-Nov,4555602
864,2008-Dec,6442746
865,2009-Jan,8072330
866,2009-Feb,6976800
867,2009-Mar,5691452
868,2009-Apr,5531616
869,2009-May,5264439
870,2009-Jun,5804433
871,2009-Jul,7713260
872,2009-Aug,8350517
873,2009-Sep,7583146
874,2009-Oct,5566075
875,2009-Nov,5339890
876,2009-Dec,7089880
877,2010-Jan,9397357
878,2010-Feb,8390677
879,2010-Mar,7347915
880,2010-Apr,5776131
881,2010-May,4919289
882,2010-Jun,6696292
883,2010-Jul,770523
884,2010-Aug,7922701
885,2010-Sep,7819472
886,2010-Oct,5875917
887,2010-Nov,4800733
888,2010-Dec,6152583
889,2011-Jan,8394747
890,2011-Feb,8898062
891,2011-Mar,6356903
892,2011-Apr,5685227
893,2011-May,5506308
894,2011-Jun,8037779
895,2011-Jul,10093343
896,2011-Aug,10308076
897,2011-Sep,8943599
898,2011-Oct,5603920
899,2011-Nov,6154138
900,2011-Dec,8273142
901,2012-Jan,8991267
902,2012-Feb,7952204
903,2012-Mar,6356961
904,2012-Apr,5569828
905,2012-May,5783598
906,2012-Jun,7926956
907,2012-Jul,8886851
908,2012-Aug,9612423
909,2012-Sep,7559148
910,2012-Oct,5576852
911,2012-Nov,5731899
912,2012-Dec,6609694
913,2013-Jan,10655730
914,2013-Feb,7681798
915,2013-Mar,6517514
916,2013-Apr,6105359
917,2013-May,5940475
918,2013-Jun,7920627
919,2013-Jul,8415321
920,2013-Aug,9080226
921,2013-Sep,7968220
922,2013-Oct,5759367
923,2013-Nov,5769083
924,2013-Dec,9606304